label_raw,n,v9_roles,d056_roles,event_context,participant,rule_id
photo cred,3,photographer,other,wedding_day,,unmatched
photo credits,3,photographer,photographer,wedding_day,,exact.stripped
event for,3,other,other,wedding_day,,unmatched
event hosts,3,other,other,wedding_day,,unmatched
photo+video,3,photographer,photographer|videographer,wedding_day,,compound(exact+exact)
photobooth & audio guestbook,3,photobooth,photo_booth|guest_book,wedding_day,,compound(exact+h.guest_book)
photobooth & content creator,3,photobooth,photo_booth|content_creator,wedding_day,,compound(exact+exact)
event photographer,3,photographer,photographer,wedding_day,,h.photographer
photobooth rental,3,photobooth,rentals,wedding_day,,h.rentals
photograph,3,photographer,photographer,wedding_day,,exact
event planners,3,planner,planner,wedding_day,,h.planner
event planning & coordination,3,planner,planner|coordinator,wedding_day,,compound(exact+exact)
photographed for,3,photographer,other,wedding_day,,unmatched
event planning + design,3,planner,planner|event_design,wedding_day,,compound(exact+exact)
event signage,3,other,signage,wedding_day,,h.signage
event space,3,other,other,wedding_day,,unmatched
balloon arch,3,other,other,wedding_day,,unmatched
event support,3,other,other,wedding_day,,unmatched
photography assistant,3,photographer,other,wedding_day,,unmatched
ceremony florals,3,florist,florist,ceremony,,exact.ctx
photos & video,3,photographer,photographer|videographer,wedding_day,,compound(exact+exact)
ceremony location,3,venue,venue,ceremony,,phase_venue
family hair & makeup,3,hair,hair|makeup,wedding_day,,compound(h.hair+exact)
ceremony music & band,3,band,live_music|band,ceremony,,compound(exact+exact).ctx
photos shot by my amazing friends,3,photographer,other,wedding_day,,unmatched
fashion + attire,3,attire,attire,wedding_day,,compound(exact+exact)
ceremony photographer,3,photographer,photographer,ceremony,,exact.ctx
ceremony photos,3,photographer,photographer,ceremony,,exact.ctx
piaggio,3,other,other,wedding_day,,unmatched
feature,3,other,other,wedding_day,,unmatched
featured photographers,3,photographer,photographer,wedding_day,,h.photographer
bridal hairstylist,3,hair,hair,wedding_day,,exact.stripped
bridal hmua,3,beauty_other,hair|makeup,wedding_day,,exact.stripped
planner and officiant,3,planner,planner|officiant,wedding_day,,compound(exact+exact)
film developing,3,videographer,other,wedding_day,,unmatched
ceremony venue holy name cathedral,3,venue,venue,ceremony,,h.venue.ctx
film photo,3,photographer,photographer,wedding_day,,h.photographer
bridal jewelry,3,attire,jewelry,wedding_day,,exact.stripped
planner megan estrada,3,planner,other,wedding_day,,unmatched
fine rentals,3,rentals,rentals,wedding_day,,h.rentals
chaat wala,3,other,other,wedding_day,,unmatched
chai,3,other,other,wedding_day,,unmatched
planning and creative direction,3,planner,planner|event_design,wedding_day,,compound(exact+exact)
planning and floral design,3,planner,planner|florist,wedding_day,,compound(exact+exact)
planning by one and only,3,planner,planner,wedding_day,,exact.stripped
band + cocktail musicians,3,band,band|live_music,cocktail_hour,,compound(exact+exact).ctx
chai cart,3,other,other,wedding_day,,unmatched
plates,3,other,other,wedding_day,,unmatched
portrait station,3,other,other,wedding_day,,unmatched
flawless skin,3,other,beauty_services,wedding_day,,h.beauty_services
floor drapery,3,other,lighting_production,wedding_day,,h.lighting
pr,3,other,other,wedding_day,,unmatched
chalkboard artist,3,other,live_painter,wedding_day,,h.live_painter
champagne,3,other,other,wedding_day,,unmatched
presented by yazz events,3,other,other,wedding_day,,unmatched
bridal mua,3,beauty_other,makeup,wedding_day,,exact.stripped
floral & draping,3,florist,florist|lighting_production,wedding_day,,compound(exact+exact)
presets,3,other,other,wedding_day,,unmatched
floral & installation,3,florist,florist|decor_other,wedding_day,,compound(exact+h.decor)
floral + catering,3,florist,florist|catering,wedding_day,,compound(exact+exact)
prints,3,other,other,wedding_day,,unmatched
floral + concept,3,florist,florist|event_design,wedding_day,,compound(exact+exact)
private chef,3,other,catering,wedding_day,,h.catering
privileged to spend saturday w,3,other,other,wedding_day,,unmatched
pro tip,3,other,other,wedding_day,,unmatched
production assistant,3,other,other,wedding_day,,unmatched
floral and lighting,3,florist,florist|lighting_production,wedding_day,,compound(exact+exact)
champagne wall,3,other,other,wedding_day,,unmatched
production support,3,other,other,wedding_day,,unmatched
programs,3,other,stationery,wedding_day,,h.stationery
floral by,3,florist,florist,wedding_day,,exact.stripped
bridal party attire,3,attire,attire,wedding_day,,h.attire.stripped
publisher,3,other,other,wedding_day,,unmatched
band and dj,3,band,band|dj,wedding_day,,compound(exact+exact)
charcuterie styling,3,other,event_design,wedding_day,,h.event_design
floral preservation,3,florist,other,wedding_day,,unmatched
rebecca & kathryn styling,3,other,event_design,wedding_day,,compound(h.event_design)
bridal party by,3,attire,other,wedding_day,,unmatched
floral+ design,3,florist,florist|event_design,wedding_day,,compound(exact+exact)
reception location,3,venue,venue,reception,,phase_venue
florals & planning,3,planner,florist|planner,wedding_day,,compound(exact+exact)
florals + design,3,florist,florist|event_design,wedding_day,,compound(exact+exact)
reception venue hilton chicago,3,venue,other,reception,,unmatched
reel,3,other,other,wedding_day,,unmatched
florals and design,3,florist,florist|event_design,wedding_day,,compound(exact+exact)
rehearsal dinner catering,3,catering,catering,rehearsal_dinner,,exact.ctx
rehearsal transportation,3,transportation,transportation,rehearsal_dinner,,exact.ctx
rental + linens,3,rentals,rentals,wedding_day,,compound(exact+exact)
florist + design,3,florist,florist|event_design,wedding_day,,compound(exact+exact)
after party dress,3,attire,attire,after_party,,exact.ctx
rentals & tablescapes,3,rentals,rentals|event_design,wedding_day,,compound(exact+exact)
rentals & tent,3,rentals,rentals|tent,wedding_day,,compound(exact+exact)
rentals + linens,3,rentals,rentals,wedding_day,,compound(exact+exact)
rentals and custom designs,3,rentals,rentals,wedding_day,,compound(exact)
bridal prep,3,attire,attire,getting_ready,,exact.ctx
restroom rental,3,rentals,rentals,wedding_day,,h.rentals
flower software,3,florist,other,wedding_day,,unmatched
flowers & decor,3,florist,florist|decor_other,wedding_day,,compound(exact+exact)
flowers and design,3,florist,florist|event_design,wedding_day,,compound(exact+exact)
rogersparkflorist,3,florist,other,wedding_day,,unmatched
choreographer,3,other,dancers_choreography,wedding_day,,h.dance
sari,3,other,other,wedding_day,,unmatched
saturday second shoes,3,attire,accessories,wedding_day,,h.accessories
saturday shoes,3,attire,accessories,wedding_day,,h.accessories
forward momentum chicago,3,other,other,wedding_day,,unmatched
freelance floral assistance,3,florist,other,wedding_day,,unmatched
bridalwear,3,attire,other,wedding_day,,unmatched
friday dress,3,attire,attire,wedding_day,,h.attire
classic car,3,other,transportation,wedding_day,,h.transportation
friday shoes,3,attire,accessories,wedding_day,,h.accessories
second shooting for,3,other,second_shooter,wedding_day,,exact.stripped
bride & bridal party makeup by,3,makeup,makeup,wedding_day,,compound(h.makeup.stripped)
service staff,3,other,staffing,wedding_day,,h.staffing
session & gala dinner staging,3,catering,lighting_production,wedding_day,,compound(h.lighting)
artists’ gowns,3,attire,attire,wedding_day,,h.attire
furniture & linens,3,rentals,rentals,wedding_day,,compound(exact+exact)
furniture and linens,3,rentals,rentals,wedding_day,,compound(exact+exact)
gaffer,3,other,other,wedding_day,,unmatched
cocktail hour music,3,musician,live_music,cocktail_hour,,exact.ctx
gelato cart,3,other,other,wedding_day,,unmatched
getaway suv,3,other,other,wedding_day,,unmatched
coffee & tea,3,other,desserts,wedding_day,,compound(exact)
getting ready gown,3,attire,attire,getting_ready,,exact.ctx
getting ready robe,3,other,other,getting_ready,,unmatched
social media content creator,3,content_creator,content_creator,wedding_day,,h.content
social media curator,3,other,other,wedding_day,,unmatched
soft play,3,other,other,wedding_day,,unmatched
bar sign,3,other,signage,wedding_day,,h.signage
soloist,3,other,live_music,wedding_day,,h.live_music
sound & av,3,other,lighting_production,wedding_day,,compound(exact+exact)
sound & lighting,3,other,lighting_production,wedding_day,,compound(exact+exact)
glasshouse a,3,other,other,wedding_day,,unmatched
sounds,3,other,other,wedding_day,,unmatched
artists’ mua,3,beauty_other,makeup,wedding_day,,h.makeup
baraat car,3,other,transportation,sangeet_mehndi,,exact.ctx
sparklers and dancing in clouds,3,other,entertainment_other,wedding_day,,compound(h.entertainment_other)
baraat horse,3,other,other,sangeet_mehndi,,unmatched
artists’ styling,3,other,event_design,wedding_day,,h.event_design
community orchestra convening,3,other,other,wedding_day,,unmatched
special thanks to,3,other,other,wedding_day,,unmatched
specialty furniture,3,other,rentals,wedding_day,,exact.stripped
concierge meteorologist,3,other,other,wedding_day,,unmatched
gown + suit,3,attire,attire,wedding_day,,compound(exact+exact)
alpaca,3,other,other,wedding_day,,unmatched
ssp couple,3,other,other,wedding_day,,unmatched
staff travel & rental cars,3,rentals,transportation,wedding_day,,compound(h.transportation)
stage & mandap,3,other,lighting_production,wedding_day,,compound(exact)
staging + lighting,3,other,lighting_production,wedding_day,,compound(exact+exact)
barber,3,other,beauty_services,wedding_day,,exact
stationary & signage,3,stationery,stationery|signage,wedding_day,,compound(exact+exact)
barber services,3,other,other,wedding_day,,unmatched
stationery + signage,3,stationery,stationery|signage,wedding_day,,compound(exact+exact)
stay well,3,other,other,wedding_day,,unmatched
congratulations,3,other,noise,wedding_day,,noise
store,3,other,attire,wedding_day,,h.attire
contact us,3,other,other,wedding_day,,unmatched
string duo,3,jeweler,other,wedding_day,,unmatched
strings + band,3,band,live_music|band,wedding_day,,compound(exact+exact)
content by me for,3,videographer,content_creator,wedding_day,,exact.stripped
groom and groomsmen,3,other,attire,wedding_day,,compound(exact)
styling by,3,other,event_design,wedding_day,,exact.stripped
bride’s accessories,3,other,accessories,wedding_day,,exact
styling mat,3,other,other,wedding_day,,unmatched
groom outfit,3,attire,attire,wedding_day,,exact.stripped
bartenders,3,other,bar_service,wedding_day,,h.bar
suit shirt,3,attire,other,wedding_day,,unmatched
suite,3,attire,stationery,wedding_day,,h.stationery
groom’s attire kimono,3,attire,other,wedding_day,,unmatched
sweet treat,3,other,other,wedding_day,,unmatched
sweets station,3,other,other,wedding_day,,unmatched
swimwear,3,other,other,wedding_day,,unmatched
sydney’s hair,3,hair,hair,wedding_day,,h.hair
sydney’s makeup,3,makeup,makeup,wedding_day,,h.makeup
table,3,other,rentals,wedding_day,,h.rentals
table decor,3,rentals,decor_other,wedding_day,,h.decor
table numbers,3,other,other,wedding_day,,unmatched
tarot,3,other,other,wedding_day,,unmatched
tattoo artist,3,other,live_painter,wedding_day,,h.live_painter
groomsmen’s suits,3,attire,attire,wedding_day,,h.attire
teamwork,3,other,other,wedding_day,,unmatched
tent & accessories,3,other,tent|accessories,wedding_day,,compound(exact+exact)
tent & rentals,3,rentals,tent|rentals,wedding_day,,compound(exact+exact)
text service,3,other,other,wedding_day,,unmatched
guest illustrations,3,other,other,wedding_day,,unmatched
bbj,3,other,other,wedding_day,,unmatched
also on deck,3,other,other,wedding_day,,unmatched
that’s a wrap for the ann arbor,3,other,other,wedding_day,,unmatched
thc bar,3,other,bar_service,wedding_day,,h.bar
the bridal makeup,3,makeup,makeup,wedding_day,,exact
the bridal outfit,3,attire,attire,wedding_day,,exact
the cake,3,cake,cake,wedding_day,,exact
the coordinators,3,planner,coordinator,wedding_day,,exact
the couple,3,other,,wedding_day,couple,participant
guided hike,3,other,other,wedding_day,,unmatched
the dinner,3,catering,catering,wedding_day,,exact
the era footwork collective,3,other,other,wedding_day,,unmatched
guitar,3,other,live_music,wedding_day,,h.live_music
the garlands,3,other,other,wedding_day,,unmatched
the hair,3,hair,hair,wedding_day,,exact
the joinery,3,other,other,wedding_day,,unmatched
the outfit,3,attire,attire,wedding_day,,exact
the shoes,3,attire,accessories,wedding_day,,exact
the sold,3,other,other,wedding_day,,unmatched
cover credits,3,other,other,wedding_day,,unmatched
hair and makeup bianca,3,hair,hair,wedding_day,,compound(exact)
tiktok,3,other,other,wedding_day,,unmatched
transporation,3,other,other,wedding_day,,unmatched
transport of materials and goods,3,transportation,other,wedding_day,,unmatched
trevor harris,3,other,other,wedding_day,,unmatched
hair juan jose herrera,3,hair,other,wedding_day,,unmatched
beautiful couple,3,other,other,wedding_day,,unmatched
hair stylist & make,3,hair,hair|makeup,wedding_day,,compound(exact+exact)
update,3,other,other,wedding_day,,unmatched
uplighting,3,other,other,wedding_day,,unmatched
valet & coat check,3,other,valet,wedding_day,,compound(exact)
van,3,other,other,wedding_day,,unmatched
veil & hair accessories,3,hair,accessories,wedding_day,,compound(exact+h.accessories)
creative coordinator,3,planner,coordinator,wedding_day,,h.coordinator
vendor highlight of the week,3,other,other,wedding_day,,unmatched
handkerchiefs,3,other,other,wedding_day,,unmatched
creator,3,other,other,wedding_day,,unmatched
hannah’s hair,3,hair,hair,wedding_day,,h.hair
venue + floral,3,venue,venue|florist,wedding_day,,compound(exact+exact)
venue and planning,3,venue,venue|planner,wedding_day,,compound(exact+exact)
venue design,3,venue,event_design,wedding_day,,h.event_design
venue friday marriott marquis,3,venue,other,wedding_day,,unmatched
alyssa + mikey,3,other,other,wedding_day,,unmatched
venue name,3,venue,other,wedding_day,,unmatched
bride’s veil,3,other,accessories,wedding_day,,exact.stripped
video & content creation,3,videographer,videographer|content_creator,wedding_day,,compound(exact+exact)
head table vases,3,other,other,wedding_day,,unmatched
curated by,3,other,other,wedding_day,,unmatched
curated by chef,3,other,catering,wedding_day,,h.catering
videobooth,3,videographer,other,wedding_day,,unmatched
videography by,3,videographer,videographer,wedding_day,,exact.stripped
her wedding ring,3,jeweler,jewelry,wedding_day,,h.jewelry.stripped
assistants,3,other,noise,wedding_day,,noise
vintage porsche,3,other,other,wedding_day,,unmatched
his wedding ring,3,jeweler,jewelry,wedding_day,,h.jewelry.stripped
violins,3,other,other,wedding_day,,unmatched
custom details,3,other,other,wedding_day,,unmatched
hospitality,3,other,other,wedding_day,,unmatched
we partnered with,3,other,other,wedding_day,,unmatched
we were proud to host scratching,3,other,other,wedding_day,,unmatched
custom fabrication & design,3,other,event_design,wedding_day,,compound(exact)
host planner & designer,3,planner,planner|event_design,wedding_day,,compound(h.planner+exact)
host videographer,3,videographer,videographer,wedding_day,,h.videographer
hotel + venue,3,venue,accommodations|venue,wedding_day,,compound(exact+exact)
hotel blocks,3,hotel,other,wedding_day,,unmatched
custom gown,3,attire,attire,wedding_day,,exact.stripped
wedding design & planning,3,planner,planner|event_design,wedding_day,,exact.stripped
wedding designer,3,other,event_design,wedding_day,,exact.stripped
brides hair,3,hair,hair,wedding_day,,exact.stripped
brides makeup,3,makeup,makeup,wedding_day,,exact.stripped
wedding dress boutique,3,attire,attire,wedding_day,,exact.stripped
wedding dress ceremony and reception,3,attire,other,ceremony,,unmatched
custom installations,3,other,other,wedding_day,,unmatched
wedding earrings,3,jeweler,jewelry,wedding_day,,exact.stripped
i love doing an amuse,3,other,other,wedding_day,,unmatched
wedding invitations,3,stationery,stationery,wedding_day,,exact.stripped
wedding photography & videography,3,photographer,photographer|videographer,wedding_day,,exact.stripped
custom menswear,3,attire,attire,wedding_day,,exact.stripped
wedding stationery,3,stationery,stationery,wedding_day,,exact.stripped
wedding storefront,3,other,other,wedding_day,,unmatched
custom ring design,3,jeweler,event_design,wedding_day,,h.event_design.stripped
immersions,3,other,other,wedding_day,,unmatched
welcome party catering,3,catering,catering,welcome_party,,exact.ctx
welcome sign art,3,other,signage,wedding_day,,exact
where,3,other,other,wedding_day,,unmatched
wholesale flowers,3,florist,florist,wedding_day,,h.florist
wholesalers,3,other,other,wedding_day,,unmatched
customized veil,3,other,accessories,wedding_day,,h.accessories
bridesmaid hair,3,hair,hair,wedding_day,,h.hair
wlww,3,other,other,wedding_day,,unmatched
cutting cake,3,cake,cake,wedding_day,,h.cake
workshop education team,3,other,other,wedding_day,,unmatched
invitation designer,3,stationery,event_design,wedding_day,,h.event_design
youtube,3,other,other,wedding_day,,unmatched
zaffa,3,other,other,wedding_day,,unmatched
bridesmaid’s dresses,3,attire,attire,wedding_day,,h.attire
invitations & day,3,stationery,stationery,wedding_day,,compound(exact)
invites + day of stationery,2,stationery,stationery,wedding_day,,compound(exact+exact)
behind,2,other,other,wedding_day,,unmatched
staci & jake,2,other,other,wedding_day,,unmatched
rehearsal hair & makeup,2,hair,hair|makeup,rehearsal_dinner,,compound(exact+exact).ctx
lighting & tech,2,other,lighting_production,wedding_day,,compound(exact)
rehearsal dinner shoes,2,attire,accessories,rehearsal_dinner,,exact.ctx
registration sponsor,2,other,other,wedding_day,,unmatched
cheese wheel cake,2,cake,cake,wedding_day,,h.cake
brides shoes,2,attire,accessories,wedding_day,,exact.stripped
band l beatrix chicago,2,band,other,wedding_day,,unmatched
reception venue name,2,venue,other,reception,,unmatched
stage rental,2,rentals,rentals,wedding_day,,h.rentals
cheers to,2,other,other,wedding_day,,unmatched
lighting & staging,2,other,lighting_production,wedding_day,,compound(exact+exact)
cheeks,2,other,other,wedding_day,,unmatched
florals & production,2,florist,florist|lighting_production,wedding_day,,compound(exact+exact)
stars,2,other,other,wedding_day,,unmatched
start the morning with beat,2,other,other,wedding_day,,unmatched
florals & lighting,2,florist,florist|lighting_production,wedding_day,,compound(exact+exact)
wedding host,2,other,other,wedding_day,,unmatched
florals & candles,2,florist,florist|decor_other,wedding_day,,compound(exact+exact)
