label_raw,current_role,n,handles
catering & floral,florist,7,1
dinner,catering,7,6
first dance choreography,other,7,2
reception dj,dj,7,5
ladies getting ready venue,other,7,1
sponsors,other,7,7
planning + coordination,planner,7,6
string trio,jeweler,7,6
linen rentals,rentals,7,2
custom ring,jeweler,7,1
design & florals,florist,7,3
bridal bouquet,attire,7,5
cocktail hour food,catering,7,3
planning & florals,planner,7,4
floral design & production,florist,7,1
dancers,other,7,4
bridal stylist,attire,7,4
shuttle,other,7,5
cocktail napkins,other,7,3
gown designer,attire,7,3
photo location,photographer,7,5
gerber scarpelli photography,photographer,7,1
second for,other,7,6
hair and make up,hair,7,6
wedding day linens,rentals,7,1
wedding shoes,attire,7,4
stationery & event branding,stationery,7,2
formal wear,other,7,5
floral sponsor,florist,7,1
yacht,other,7,3
rehearsal venue,venue,7,5
lighting design,other,7,6
sangeet catering,catering,7,1
glam squad,other,7,5
workshop host,other,7,2
workshop hosts,other,7,3
team,other,7,7
technical + lighting,other,7,4
grooms outfit,attire,7,2
fashion styling,other,7,3
groomsmen attire,attire,7,4
hair & makeup by,hair,7,5
sotei speakers,other,7,7
ceremony curator,other,7,1
some weddings take your breath away,other,7,7
guest book phone,other,7,1
grooms tux,attire,7,3
the photo,photographer,7,1
grooms suit designer + shop,attire,7,4
wedding dress shop,attire,7,4
the mehndi,other,7,3
the makeup,makeup,7,3
grooms suit,attire,7,5
illustrator,other,7,4
mixologist,other,7,2
restrooms,other,7,4
flower wall,florist,6,3
rehearsal entertainment,dj,6,2
entertainers,other,6,1
dress and veil,attire,6,3
the la via team,other,6,6
brides ceremony dress,attire,6,2
wardrobe stylist,other,6,3
brands,other,6,3
tables + chairs,hair,6,3
flowers and floral design,florist,6,1
dj & entertainment,dj,6,2
second shooting,other,6,5
car,other,6,6
graphic,other,6,1
groom tux,attire,6,5
photographer and videographer,photographer,6,2
custom decor,rentals,6,3
photo director,photographer,6,1
event designer and florist,florist,6,1
bar service,other,6,4
portraits,other,6,3
sketch artist,other,6,2
printed goods,other,6,5
skin,other,6,2
skin prep,other,6,6
make up artists,other,6,2
design planning + concept,planner,6,2
photographer & videographer,photographer,6,4
dress alterations,attire,6,4
limelight,other,6,1
the newlyweds,other,6,2
dj & photobooth,photobooth,6,4
boots,other,6,1
rentals and design,rentals,6,2
glassware,other,6,4
event illustrator,other,6,1
saturday second dress,attire,6,2
floral & lighting,florist,6,2
day of stationary,stationery,6,4
featuring spring,jeweler,6,6
day of stationery,stationery,6,5
revel decor,rentals,6,1
party hair,hair,6,6
saturday dress,attire,6,2
welcome event,other,6,1
bts video,videographer,6,3
social,other,6,2
entertainment reception,dj,6,4
supplies,other,6,2
bridal party hmu,beauty_other,6,4
bar services,other,6,3
modern luxury weddings fall,other,6,4
cartering,jeweler,6,2
tableware rentals,rentals,6,1
flowers by,florist,6,5
