post_url,parser_version,line_no,handle,label_raw,old_role,new_role,old_rule_id,new_rule_id
"https://www.instagram.com/p/DYzRUyhCCKH/","stack-parser-ts-v10",11,"frontroomcouture_naperville","Dresses","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYzZFC2DiuJ/","stack-parser-ts-v10",15,"graceandivoryofficial","Wedding Dress Attire","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYzZFC2DiuJ/","stack-parser-ts-v10",16,"drlucas_wearyourstory","Wedding Tux Attire","attire","menswear","exact","exact"
"https://www.instagram.com/p/DZ_a3G0mZUD/","stack-parser-ts-v10",12,"londie.bridal","Gown Salon","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DZ_FGZdDiTX/","stack-parser-ts-v10",9,"sarehnouri","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DZ_FGZdDiTX/","stack-parser-ts-v10",10,"enblancbride_la","Bridal Salon","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DZ_FGZdDiTX/","stack-parser-ts-v10",11,"hestia_bridal","Second Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DZ_FGZdDiTX/","stack-parser-ts-v10",46,"emmylondonofficial","Shoes","accessories","shoes","exact","exact"
"https://www.instagram.com/p/DZ_FGZdDiTX/","stack-parser-ts-v10",46,"bellabelleshoes","Shoes","accessories","shoes","exact","exact"
"https://www.instagram.com/p/DZ_NkQUmKvs/","stack-parser-ts-v10",6,"the_perfectfit_nwi","Dress shop","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DZ_NkQUmKvs/","stack-parser-ts-v10",8,"belairebridal","Veils","accessories","veil_headpiece","h.accessories","h.veil_headpiece"
"https://www.instagram.com/p/DZ_VkuTC_mc/","stack-parser-ts-v10",15,"dimitrasbridalcouture","DRESS","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DZ_VkuTC_mc/","stack-parser-ts-v10",16,"bellabridesmaids","BRIDESMAID DRESSES","attire","bridesmaid_attire","exact","exact"
"https://www.instagram.com/p/DZ--ul_xtSc/","stack-parser-ts-v10",8,"theweddingdresser","Wedding dresser","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DZ--ul_xtSc/","stack-parser-ts-v10",11,"amsaleweddings","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DZ--ul_xtSc/","stack-parser-ts-v10",12,"verawanggang","Veil","accessories","veil_headpiece","exact","exact"
"https://www.instagram.com/p/DZ-BIOPEfM0/","stack-parser-ts-v10",12,"frontroomcouture_naperville","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DZ-FdbrnGcv/","stack-parser-ts-v10",10,"bellabiancabridalcouture","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DZ-gMhyjmYR/","stack-parser-ts-v10",10,"bridesbyyoung","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DZ-gMhyjmYR/","stack-parser-ts-v10",11,"gftuxedo","Tux","attire","menswear","exact","exact"
"https://www.instagram.com/p/DZ-K12pAJvC/","stack-parser-ts-v10",14,"bellabiancabridalcouture","Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DZ-lXOGREwL/","stack-parser-ts-v10",14,"lbrbridal","Bride’s Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DZ-lXOGREwL/","stack-parser-ts-v10",15,"suitsupply","Groom’s Tux","attire","menswear","exact","exact"
"https://www.instagram.com/p/DZ-vRsjFBK4/","stack-parser-ts-v10",12,"bellabiancabridalcouture","Dresses","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DZ0EET2uPa1/","stack-parser-ts-v10",10,"edenaharon_hautecouture","Bride’s Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DZ0EET2uPa1/","stack-parser-ts-v10",10,"mira_couture","Bride’s Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DZ0EET2uPa1/","stack-parser-ts-v10",11,"dolcevita","Bride’s Shoes","accessories","shoes","exact","exact"
"https://www.instagram.com/p/DZ0EET2uPa1/","stack-parser-ts-v10",14,"birdygrey","Bridesmaids’ Dresses","attire","bridesmaid_attire","exact","exact"
"https://www.instagram.com/p/DZ0EET2uPa1/","stack-parser-ts-v10",15,"suitsupply","Groom’s Tux & Shoes","accessories","menswear","compound(exact+exact)","compound(exact+exact)"
