candidate_id,matched_wedding_id,venue_handle,candidate_date,ben_wedding_date,date_delta_days,vendor_jaccard,candidate_post_count,ben_wedding_post_count,jeremy_post_urls,ben_wedding_post_urls,candidate_vendors,ben_wedding_vendors
2345,741,"loftlucia",2026-06-09,2026-06-27,18,0.142857,1,1,"https://www.instagram.com/p/DZV7MgOjuST/","https://www.instagram.com/p/DaGShlXRkhN/","florist: @atmosphereeventsgroup | makeup: @makeupbysarajustine | photographer: @lillyphoto | planner: @effortless_events | venue: @loftlucia","venue: @loftlucia | photographer: @emilybelsonphoto | florist: @annaheldfloralstudio"
2349,527,"lmstudiochi",2026-06-09,2026-05-12,28,0.166667,1,1,"https://www.instagram.com/p/DZXZR1KHLD4/","https://www.instagram.com/p/DYPH2QXkofP/","hair: @kissthismakeup | photographer: @georgestreetphoto | planner: @enchanted_events_weddings | venue: @lmstudiochi","venue: @lmstudiochi | photographer: @twa_weddingphotographers | catering: @lmcateringchi"
2352,907,"chicagowinery",2026-06-09,2026-07-20,41,0.857143,1,1,"https://www.instagram.com/p/DZXibGKDi2v/","https://www.instagram.com/p/DbBP4iEjoEN/","dj: @dazzlechi | florist: @esthersprivategarden | hair: @barmorebeauty | makeup: @jazzebeauty | photographer: @alyeskarphotography | venue: @chicagowinery","venue: @chicagowinery | photographer: @alyeskarphotography | florist: @esthersprivategarden | hair: @barmorebeauty | makeup: @jazzebeauty | dj: @dazzlechi | other: @mariachiedc"
2354,601,"fairliechicago",2026-06-09,2026-05-30,10,0.0714286,1,1,"https://www.instagram.com/p/DZYCiw_FiVq/","https://www.instagram.com/p/DY9yM66kurM/","attire: @anthro_chicago | attire: @anthropologie | attire: @anthropologieweddings | beauty_other: @__beautybydaniela__ | cake: @1_800_cakes | catering: @woodenpaddle | dj: @impulse.entertainment | hair: @hairbeauty_by_almira | planner: @oak.avenue.events | venue: @fairliechicago | videographer: @unveiltheday_","venue: @fairliechicago | planner: @urbanallureevents | photographer: @goldenhoursweddings | catering: @heartyboys"
2359,544,"chicagomuseumevents",2026-06-10,2026-05-17,24,0.176471,1,1,"https://www.instagram.com/p/DZY1cOXDjNE/","https://www.instagram.com/p/DYdOLxfoNT4/","cake: @gerhardsdesserts | catering: @blueplatechicago | dj: @thedjfirm | florist: @f4dweddings | hair: @tamaraholdenhair | hotel: @claridge_house | makeup: @alyssadianamakeup | photobooth: @pixsterphotobooth | photographer: @danaannweddings | photographer: @goldenhoursweddings | planner: @ohanaeventsinc | venue: @chicagomuseumevents","venue: @chicagomuseumevents | planner: @ohanaeventsinc | photographer: @rachelandradephoto | videographer: @oldnorthfilmco | florist: @crescostems | dj: @soundsaboundtonyho | catering: @blueplatechicago | beauty_other: @bsansostiartistry"
2362,533,"fschicago",2026-06-10,2026-05-14,27,0.0588235,1,1,"https://www.instagram.com/p/DZaeNEOjibB/","https://www.instagram.com/p/DYVL_xnHU5O/","band: @entouragebandchicago | hair: @kelly_demoz_hair | makeup: @darcylynnmcgrath | photographer: @kentdrakephoto | planner: @hopeweis | rentals: @kehoedesigns | stationery: @hannahhandmade | venue: @fschicago | videographer: @wearewholehearted","venue: @fschicago | photographer: @sallyodonnellphotography | hair: @reneefeldmanweddings | makeup: @juliasimonebeauty | makeup: @shannonobrienweddings | rentals: @bbjlatavola | rentals: @hmrdesigns | rentals: @twbaker.events | other: @everlieco"
2372,733,"thedrakechicago",2026-06-12,2026-06-26,14,0.105263,1,3,"https://www.instagram.com/p/DZdyGzuBn70/","https://www.instagram.com/p/DadFZpakav_/ | https://www.instagram.com/p/DaDJpDcEYtP/ | https://www.instagram.com/p/DaEIiqwFLbg/","attire: @leahdagloria | attire: @theweddingdresser | band: @toastandjamdjs | cake: @ecbg_studio | hair: @glamatelierchicago | photographer: @joshandandreaphotography | planner: @chelseagildedaisleweddings | venue: @thedrakechicago | videographer: @socialbridescollective","venue: @thedrakechicago | planner: @ohanaeventsinc | photographer: @graphsbygretch | videographer: @oakhouseweddingfilms | florist: @stevesflowermarket | dj: @dreamhouseproductions | musician: @andromedaduet | musician: @dbe.off | musician: @dbe.official | cake: @ecbg_studio | jeweler: @andromedaduet | beauty_other: @brow_art_salon_spa_1 | beauty_other: @lueurbeauti"
2377,745,"bridgeportartcenter",2026-06-12,2026-06-28,16,0.111111,1,1,"https://www.instagram.com/p/DZfqxYaEYXo/","https://www.instagram.com/p/DaJESmjlOP3/","catering: @cateredbydesign | dj: @sparkentgroup | photographer: @lillyphoto | venue: @bridgeportartcenter | venue: @venuelogic","venue: @bridgeportartcenter | planner: @ohanaeventsinc | photographer: @graphsbygretch | videographer: @withlove_productions | florist: @bellafloraweddings | dj: @cageandaquarium | attire: @jennyyoonyc | cake: @dalysdonuts | catering: @cateredbydesign | catering: @venuelogic | transportation: @premiertrolley | photobooth: @grinandbearbooth | hotel: @ambassadorchicago | beauty_other: @pinmeupchicago | other: @artofimaginationdecor"
2382,1050,"rpmprivateevents",2026-06-15,2026-08-01,47,0.636364,3,1,"https://www.instagram.com/p/DaA-_-iEbmD/ | https://www.instagram.com/p/DaLS0pcEUN4/ | https://www.instagram.com/p/DZk7osSpwWw/","https://www.instagram.com/p/DbghQToEewW/","attire: @annebargebride | attire: @bellabiancabridalcouture | attire: @cultgaia | cake: @ecbg_studio | dj: @djbryenhall | florist: @thistleandplume | hair: @laurentaylorhairr | hotel: @nobuchicago | hotel: @nobuhotels | makeup: @fearlessandbella | makeup: @makeupwithkristin | photobooth: @fotioco | photographer: @devaephotography | photographer: @yvonejanephoto | planner: @silhouette_group | transportation: @premiertrolley | transportation: @windycitylimousine | venue: @rpmprivateevents","venue: @rpmprivateevents | planner: @silhouette_group | photographer: @devaephotography | photographer: @yvonejanephoto | florist: @thistleandplume | hair: @laurentaylorhairr | makeup: @fearlessandbella | makeup: @makeupwithkristin | dj: @djbryenhall | cake: @ecbg_studio | transportation: @premiertrolley | transportation: @windycitylimousine | photobooth: @fotioco | hotel: @nobuchicago | other: @bellabiancabridalcouture | other: @katiemonster365 | other: @piazzamphotography | other: @tamila_viola"
2386,901,"thegeraghty",2026-06-15,2026-07-18,33,0.714286,1,1,"https://www.instagram.com/p/DZlv_0DjojW/","https://www.instagram.com/p/Da8qHibD6OJ/","band: @themusiccityallstars | beauty_other: @magdarodmakeup | cake: @sweetmandybs | catering: @entertaining_co | florist: @austin_kehoedesigns | florist: @kehoedesigns | hair: @tinamarie.hair | hotel: @rcchicago | photographer: @kentdrakephoto | planner: @alisonrossevents | venue: @thegeraghty | videographer: @xpressvideoproductions","venue: @thegeraghty | photographer: @kentdrakephoto | videographer: @xpressvideoproductions | florist: @austin_kehoedesigns | florist: @kehoedesigns | hair: @tinamarie.hair | musician: @themusiccityallstars | cake: @sweetmandybs | catering: @entertaining_co | hotel: @rcchicago | beauty_other: @magdarodmakeup | other: @theweddingdresser"
